math-partial-sums,-0.3658414867296445,-0.6258155853748615,-0.494949494949495
bitops-bitwise-and,-0.34571103238866396,-0.7593860984271945,-0.341176470588235
bitops-3bit-bits-in-byte,0.247244714349977,-0.826114093121957,-0.272727272727273
string-fasta,-0.28621232568601,-0.501142334932602,-0.371428571428571
3d-cube,-0.05673639226270805,-0.5550643859311934,-0.317073170731707
js,709792.0,25424.0,0.1
access-nsieve,-0.309393274853801,-0.684499146965635,-0.357142857142857
string-validate-input,-0.29530055105713005,-0.1134256848244975,-0.12430167597765351
controlflow-recursive,-0.338914192532614,-0.635777354570637,-0.19047619047619
bitops-nsieve-bits,-0.31209935897435903,-0.666156295933366,-0.341935483870968
crypto-md5,-0.315915991902834,-0.355446800797535,-0.605633802816901
date-format-xparb,-0.3059280814215025,-0.2577683001131515,-0.373134328358209
3d-morph,-0.125562303193882,-0.672606060606061,-0.347826086956522
3d-raytrace,-0.281882591093117,-0.158912810360472,-0.08
date-format-tofte,-0.310257816014395,-0.9292846136913935,-0.551401869158879
access-fannkuch,-0.3012961088618985,-0.539426091150229,-0.36702127659574446
math-cordic,-0.355713000449843,-0.613657957244656,-0.431578947368421
access-binary-trees,-0.0764310616284301,-0.496299598751672,-0.319148936170213
string-base64,-0.321047008547009,-0.227956115400244,-0.241379310344828
access-nbody,-0.3067293634727845,-0.5092612769666596,-0.373493975903614
math-spectral-norm,-0.09060110211426,-0.6318358291736,-0.421052631578947
crypto-sha1,-0.245796783625731,-0.513097223584813,-0.411764705882353
crypto-aes,-0.289670490328385,0.0456297624383684,-0.2659574468085105
bitops-bits-in-byte,-0.33617999325236203,-0.6952570646084905,-0.763440860215054
